group,N,err_yaw_mean,err_yaw_std,err_yaw_median,err_yaw_min,err_yaw_max,err_pitch_mean,err_pitch_std,err_pitch_median,err_pitch_min,err_pitch_max,err_roll_mean,err_roll_std,err_roll_median,err_roll_min,err_roll_max,err_slant_mean,err_slant_std,err_slant_median,err_slant_min,err_slant_max
KIAH_08L,21,5.209815653000147,4.142335419821783,4.752676377695394,0.02403644028517249,16.29274762862505,2.00598390849882,1.2439429149248358,1.7955491958304464,0.09127867666980194,3.9691974512466004,4.181067084752543,3.29568991099661,3.4866319812540456,0.15952571323861253,10.18895914927981,0.014769687404354864,0.016094727802639458,0.00991074415747284,0.0014556152576184478,0.07057159846153649
KIAH_26R,22,6.312113184711122,5.354515270555281,5.95664222017264,0.04721878259462642,18.837098471731494,2.726258182669269,1.9373748361313605,2.0394245475441863,0.7952834711334305,8.141563461282189,7.597120243973557,6.1921843269920345,6.0187337503055005,0.6550073017249821,20.228542483997614,0.00885792391830806,0.010047260889501272,0.005696370227680617,0.0003206210071945159,0.040576438156889605
KJFK_22L,15,4.513121058920391,3.7744843207548704,3.298160467741127,0.10221253313306988,11.400402064668185,2.154153054610751,2.15188868219222,1.3501645355897267,0.26818097913835004,7.980792949402286,13.45053666186201,26.455581523424897,6.211945294731216,0.5345788372596105,107.10878077825186,0.058363015059164185,0.2066177547378677,0.0037644697286347006,0.0004891263631553733,0.8051110178147403
KJFK_4R,15,6.268885423097356,3.7948853963675075,5.8886849599564215,1.445947869127469,13.26495374962068,1.9249924955968802,1.730068281485271,1.3358943075248817,0.11568319316643283,5.975771305930522,4.426333478731655,2.8351987445832285,4.883520715887387,0.0713112040762538,10.251965766864842,0.006655414241936111,0.006763371751411814,0.005047284734008922,0.0004063896311169435,0.02351817000632539
KMIA_9,22,7.775974659692852,3.9017351968685037,6.9894568569310636,0.7214033989997262,15.874725186042525,1.940775505003863,1.5686059512318637,1.527909423318114,0.014844797996474313,5.187303898190308,4.896406103309269,3.3180235508656732,4.430689187871654,0.053196521705103805,11.683648195248571,0.027311661480922646,0.024622788824784553,0.018549830770975384,0.0003398823221393982,0.09636198766949033
LCPH_11,24,1.1873020288066265,0.1125425781624003,1.1525355720391985,1.0882869868669047,1.636189772545265,0.2356576006652329,0.11356023109423213,0.25003219354785955,0.022107646895975108,0.5041682323255969,0.2956773817144913,0.1951442458517074,0.311986578134692,0.0024942550643483052,0.7281249885211152,0.019409039168867007,0.017050044571645377,0.014425478967163397,0.0004111501730095224,0.0566047635128375
LCPH_29,34,1.159895079965465,0.09309405080820721,1.1372706849189385,0.9368758242180917,1.4561921888114213,0.09757919263221444,0.08926893698291039,0.07215283614225143,0.0008798639383371665,0.3440659648063189,0.34102823260342763,0.34149340822949853,0.2402882893405578,0.011259489716039184,1.5363520759615774,0.011249008324966359,0.016652028178883997,0.0055321687747236226,2.2927274459960678e-05,0.08608133593408729
LEMD_14L,32,1.1873595237634733,0.13173888949985893,1.1507378212436237,0.9366146198302658,1.5792580860895384,0.49366964755640064,0.11120384109890671,0.4844108868526007,0.2567277895783917,0.7383389040822692,0.2954275240665028,0.18592698869916013,0.2835691402210059,0.0401889191449768,0.7330884829843027,0.015892980443470407,0.019925208490930966,0.008131164923182554,0.00017329497296936225,0.08212090607117029
LEMD_32R,22,3.8502122316116156,2.3764537073863212,3.3379423033880578,0.12848100842991528,8.60346601816121,2.462661666431485,1.45599207968427,2.3148791570474785,0.17435975020326566,5.300297237720045,6.455499191324876,4.455876528190433,5.425611143579372,0.5998702887996972,13.996588628101392,0.011626892832423576,0.010766440679157807,0.009668085311973051,0.0016553914815145288,0.05392013299693499
LFRN_10,33,2.4512806175294872,0.09614684601653375,2.4417081160797096,2.185612121507475,2.717852307725309,0.19007098262115107,0.09107080883154944,0.21006419799684295,0.004653231852913109,0.4162184962086002,0.31742962245334544,0.3010886272758306,0.22968624512402336,0.00809145760085872,1.2912968488540364,0.017200640070380992,0.015590649255101072,0.012216474717920811,0.0008498559934326799,0.06166175585567757
LFRN_28,30,0.10548988708082827,0.055062535909463604,0.10929944471585884,0.00294605211564658,0.1953714549608776,0.4964420250623585,0.12920961931118194,0.48967253788305953,0.24673881172294898,0.8095741801798653,0.3241780795647351,0.22952918713868317,0.279609516011576,0.006688330912943297,0.9413682609677014,0.027533110784654983,0.03221504969080741,0.012551319642205405,0.0005866753964595683,0.10496862614898772
LFRS_03,33,2.09070078596519,0.07887380576300605,2.0916621090304446,1.8116098438480002,2.3001777868296216,0.12528788422329093,0.09436746866163752,0.11378339136363991,0.00292287150290349,0.339529742119268,0.3892206136560005,0.32423121849987174,0.27725547656701544,0.00042650925864506917,1.206676190537408,0.01710769634024478,0.01906959455835717,0.01124111063944122,0.0008497450512580107,0.07166934474430287
LFRS_21,33,0.20052897248004686,0.08611638663220292,0.19753840648616006,0.06012476615472906,0.5957114825911276,0.26709958196228845,0.09235910649529387,0.25948497086909583,0.08612773439426746,0.4226356119073529,0.2794453881524105,0.1977226678435815,0.2927067945641859,0.008587471301634508,0.8967287336029512,0.017560152229764828,0.020503195532129627,0.008902057250577133,4.342999448048168e-05,0.07566210496845471
LFSB_15,30,1.1703088475268268,0.04582832948338902,1.1667190554828863,1.1010010401648742,1.337760297031366,0.08786461024905397,0.05599703087158675,0.08565836337921695,0.00960890398032177,0.21090089129339162,0.27089695673459674,0.22957105906143782,0.16735214325447778,0.017524097292438645,1.034070971936516,0.009414791034856098,0.010902475343390963,0.0052947741795845715,0.0002820517044991866,0.041327281875225275
LFSB_33,32,1.2142220294118613,0.3683475097859258,1.1563416790930745,1.1081052552931574,3.2263694069624123,0.21661579631443262,0.11230490169480273,0.18361210515942616,0.03036969118778643,0.5784506738042836,0.6103755710659289,1.5359491448079214,0.2921913802984504,0.022041496320206244,8.936510874141927,0.008504405802000353,0.010332723909397198,0.004898413234606047,0.0007792679983251727,0.055677508350290505
LGSM_27,28,1.108594953343836,0.07130145509439628,1.1159729196401358,0.9400217148716337,1.2460586227632007,0.1225888140355984,0.08256167217311161,0.0972386498328035,0.012908915828745648,0.31680018993938575,0.27415180111110327,0.19229527725965098,0.24152477901023348,0.008581379029936609,0.7394051382760398,0.02465883213832456,0.025020248129924125,0.013999252735656498,0.0010939628156032277,0.11030478086763784
